id ,Title,Authors
srp306,CityVerse: A Unified Data Framework for Evaluating Large Language Models in Urban Computing,"Yaqiao Zhu:Department of Computer Science, University of Exeter;Hongkai Wen:Department of Computer Science, University of Warwick;Mark Birkin:School of Geography, University of Leeds;Man Luo:Department of Computer Science, University of Exeter"
srp312,An Improved Combinatorial Algorithm for Edge-Colored Clustering in Hypergraphs,"Seongjune Han:Department of Mathematics, Texas A&M University;Nate Veldt:Department of Computer Science and Engineering, Texas A&M University"
srp319,BitHeteroNet: A Heterogeneous Network Benchmark for Enhanced Anomaly Detection in Bitcoin Transactions,"Zheng Gong:Thrust of Artificial Intelligence, Hong Kong University of Science and Technology (Guangzhou);Shuheng Shen:Tiansuan Lab, Ant group;Changhua Meng:Tiansuan Lab, Ant group;Ying Sun:Thrust of Artificial Intelligence, Hong Kong University of Science and Technology (Guangzhou)"
srp322,Feature-PI: A Data Repository for Learning-based Feature Importance Estimation,Yin Lou:Ant Group
srp333,BiCare: Bi-Objective Set Similarity with Box Embeddings for Safe and Effective Healthcare Decision Support,Guofang Ma:Zhejiang Gongshang University;Pengxiang Zhan:Fuzhou University;Haoze Huang:Fuzhou University;Yanchao Tan:Fuzhou University
srp347,ReMi-ReMath: A Reverse-Mutual Reasoning Framework for Enhancing Mathematical Thinking in Small Language Models,Dae Kyoo Kim:Sungkyunkwan University;Sang Kyu Moon:Sungkyunkwan University;Eunil Park:Sungkyunkwan Universtiy
srp354,Beyond Isolated Clients: Integrating Graph-Based Embeddings into Event Sequence Models,"Harry Proshian:Steklov Institute of Mathematics;Nikita Severin:Independent Researcher;Sergey Nikolenko:ISP RAS,Steklov Institute of Mathematics;Ivan Kireev:Sber AI Lab;Andrey Savchenko:Sber AI Lab,HSE University;Ivan Sergeev:Sber;Maria Postnova:Sber;Ilya Makarov:AIRI,ISP RAS"
srp356,GlotWeb: Web Indexing for Minority Languages,"Abdullah Al Sefat:Technical University of Munich;Amir Hossein Kargaran:Ludwig Maximilian University of Munich,Munich Center for Machine Learning;François Yvon:Sorbonne Université,CNRS;Hinrich Schütze:Ludwig Maximilian University of Munich,Munich Center for Machine Learning"
srp367,Graph Poisoning for Node Rank Manipulation,Seyed Mohammad Hosseini:Toronto Metropolitan University;Radin Hamidi Rad:Mila – Quebec AI Institute;Morteza Zihayat:Toronto Metropolitan University;Ebrahim Bagheri:University of Toronto
srp377,P-Aligner: Pre-Aligning LLMs via Principled Instruction Synthesis,"Feifan Song:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University;Bofei Gao:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University;Yifan Song:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University;Yi Liu:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University;Weimin Xiong:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University;Yuyang Song:University of Southampton;Tianyu Liu:Peking University;Guoyin Wang:Alibaba Group;Houfeng Wang:State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University"
srp393,Interaction-level Membership Inference Attack for Recommender Systems via Cluster-based User Modeling,"Danyang Zong:State Key Laboratory of AI Safety, Institute of Computing Technology, Chinese Academy of Sciences,Zhengzhou University, Henan Institute of Advanced Technology;Kaike Zhang:State Key Laboratory of AI Safety, Institute of Computing Technology, Chinese Academy of Sciences;Qi Cao:State Key Laboratory of AI Safety, Institute of Computing Technology, Chinese Academy of Sciences;Du Su:State Key Laboratory of AI Safety, Institute of Computing Technology, Chinese Academy of Sciences;Fei Sun:State Key Laboratory of AI Safety, Institute of Computing Technology, Chinese Academy of Sciences"
srp419,CytoCrowd: A Multi-Annotator Benchmark Dataset for Cytology Image Analysis,"Yonghao Si:Sun Yat-sen University,Hong Kong University of Science and Technology (Guang Zhou);Xingyuan Zeng:Sun Yat-sen University;Zhao Chen:Hong Kong University of Science and Technology (Guang Zhou);Libin Zheng:Sun Yat-sen University;Caleb Chen Cao:Hong Kong University of Science and Technology;Chen Lei:Hong Kong University of Science and Technology;Jian Yin:Sun Yat-sen University"
srp420,FilterRec: An Intent-Aware Framework for Dynamic Filter Recommendation,"Dingxian Wang:Upwork,University of Technology Sydney;Jiacheng Dong:University of Technology Sydney;Jiaqi Deng:University of Technology Sydney;Jing Long:University of Technology Sydney;Ted Liu:Upwork;George Barelas:Upwork;Arya Taylor:Upwork;Spyros Kapnissis:Upwork;Frank Yang:Upwork;Andrew Rabinovich:Upwork;Guandong Xu:The Education University of Hong Kong"
srp424,MCP vs RAG vs NLWeb vs HTML: A Comparison of the Effectiveness and Efficiency of Different Agent Interfaces to the Web,"Aaron Steiner:Data and Web Science Group, University of Mannheim;Ralph Peeters:Data and Web Science Group, University of Mannheim;Christian Bizer:Data and Web Science Group, University of Mannheim"
srp426,SIT-KGED: Simply Inject Topology into LLM for Knowledge Graph Error Detection,Ting Li:Sun Yat-sen University;Xingyi Mao:Sun Yat-sen University;Yipeng Yu:Alibaba Inc.;Liang Yao:Sun Yat-sen University
srp433,ReFuGe: Feature Generation for Prediction Tasks on Relational Databases with LLM Agents,Kyungho Kim:KAIST;Geon Lee:KAIST;Juyeon Kim:KAIST;Dongwon Choi:KAIST;Shinhwan Kang:KAIST;Kijung Shin:KAIST
srp443,Suppression or Deletion: A Restoration-Based Representation-Level Analysis of Machine Unlearning,"Yurim Jang:Department of Artificial Intelligence, Sungkyunkwan University;Jaeung Lee:Department of Computer Science and Engineering, Sungkyunkwan University;Dohyun Kim:Department of Computer Science and Engineering, Sungkyunkwan University;Jaemin Jo:Department of Computer Science and Engineering, Sungkyunkwan University;Simon S Woo:Department of Computer Science and Engineering, Sungkyunkwan University"
srp444,C^2-SFL:Class-Balanced and Cost-Aware Split Federated Learning for Mobile Edge Computing,Kai Cheng:China Three Gorges University;Zhengyu Zhang:East China Normal University;Tong Wu:Zhejiang Gongshang University;Huan Zhou:Northwestern Polytechnical University;Xinggang Fan:Zhejiang University of Technology
srp445,SAGE-Prompt: Structured Attribution Guarded Explanation for Explainable Deepfake Question Answering,Jong-Chan Park:Gyeongsang National University;Myeongjun Kim:Gyeongsang National University;So-Hee Lim:Gyeongsang National University;Sang-Min Choi:Gyeongsang National University;Gun-Woo Kim:Gyeongsang National University
srp448,Multi-source Multi-level Multi-token Ethereum Dataset and Benchmark Platform,Haoyuan Li:The University of Auckland;Mengxiao Zhang:University of Auckland Business School;Maoyuan Li:The University of Auckland;Jianzheng Li:The University of Auckland;Zijian Zhang:Beijing Institute of Technology;Junyi Yang:The University of Auckland;Shuangyan Deng:The University of Auckland;Jiamou Liu:The University of Auckland
srp455,Is More Context Always Better? Examining LLM Reasoning Capability for Time Interval Prediction,Yanan Cao:Walmart Global Tech;Farnaz Fallahi:Walmart Global Tech;Murali Mohana Krishna Dandu:Walmart Global Tech;Lalitesh Morishetti:Walmart Global Tech;Kai Zhao:Walmart Global Tech;Luyi Ma:Walmart Global Tech;Sinduja Subramaniam:Walmart Global Tech;Jianpeng Xu:Walmart Global Tech;Evren Korpeoglu:Walmart Global Tech;Kaushiki Nag:Walmart Global Tech;Sushant Kumar:Walmart Global Tech;Kannan Achan:Walmart Global Tech
srp457,Beyond Playtesting: A Generative Multi-Agent Simulation System for Massively Multiplayer Online Games,Zhang Ran:LIGHTSPEED;Kun Ouyang:LIGHTSPEED;Tiancheng Ma:National University of Singapore;Yida Yang:Nanyang Technological University;Dong Fang:LIGHTSPEED
srp460,COINS: Semantic Ids Enhanced Cold Item Representation for Click-through Rate Prediction in E-commerce Search,"Qihang Zhao:Kuaishou Technology;Zhongbo Sun:Kuaishou Technology;Xiaoyang Zheng:Kuaishou Technology;Xian Guo:Kuaishou Technology;Siyuan Wang:Kuaishou Technology;Zihan Liang:Kuaishou Technology;Mingcan Peng:Kuaishou Technology;Ben Chen:Alibaba International Digital Commerce Group, Kuaishou Technology;Chenyi Lei:Kuaishou Technology"
srp462,AWMA-MoE: Attention-Guided Watermark Adapter with MoE for Latent Diffusion Models,"Yicheng Huang:Harbin Institute of Technology, Shenzhen;Xinyu Xiao:Harbin Institute of Technology, Shenzhen;Jian Zhang:Peking University;Shuhan Qi:Harbin Institute of Technology, Shenzhen;Yulin Wu:Harbin Institute of Technology, Shenzhen;Xuan Wang:Harbin Institute of Technology, Shenzhen"
srp463,Towards Responsible Recommendations: A Daily Updated Ranking Model for Content Issue Detection,"Haoze Wu:TikTok, Inc.;Chenghui Yu:TikTok, Inc.;Bingfeng Deng:TikTok, Inc.;Daniel Chen:TikTok, Inc."
srp464,ThinkTank-ME: A Multi-Expert Framework for Middle East Event Forecasting,Haoxuan Li:University of Electronic Science and Technology of China;He Chang:Communication University of China;Yunshan Ma:Singapore Management University;Yi Bin:Tongji University;Yang Yang:University of Electronic Science and Technology of China;See-Kiong Ng:National University of Singapore;Tat-Seng Chua:National University of Singapore
srp466,An 8-Way Taxonomy for Multimodal Disinformation and Detection Benchmark,Shuhan Cui:The University of Tokyo;Ruimin Chu:AI inside Inc.;Hanrui Wang:National Institute of Informatics;Patrick H. Chen:Binghamton University;Ching-Chun Chang:National Institute of Informatics;Isao Echizen:National Institute of Informatics
srp470,DTRec: Learning Dynamic Reasoning Trajectories for Sequential Recommendation,"Yifan Shao:The Chinese University of Hong Kong;Peilin Zhou:DSA Thrust, Information Hub, HKUST(GZ);Shoujin Wang:University of Technology Sydney;Weizhi Zhang:University of Illinois Chicago;Sunghun Kim:Hong Kong University of Science and Technology;Xu Cai:Jilin University"
